Problem Name,Problem Description,Solution
Closest Dessert Cost,###  1774\. Closest Dessert Cost\n\nYou would like to make dessert and are preparing to buy the ingredients. You\nhave `n` ice cream base flavors and `m` types of toppings to choose from. You\nmust follow these rules when making your dessert:\n\n  * There must be **exactly one** ice cream base.\n  * You can add **one or more** types of topping or have no toppings at all.\n  * There are **at most two** of **each type** of topping.\n\nYou are given three inputs:\n\n  * `baseCosts` an integer array of length `n` where each `baseCosts[i]` represents the price of the `ith` ice cream base flavor.\n  * `toppingCosts` an integer array of length `m` where each `toppingCosts[i]` is the price of **one** of the `ith` topping.\n  * `target` an integer representing your target price for dessert.\n\nYou want to make a dessert with a total cost as close to `target` as possible.\n\nReturn _the closest possible cost of the dessert to_`target`. If there are\nmultiple return _the**lower** one._\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** baseCosts = [17] toppingCosts = [34] target = 10\n    **Output:** 10\n    **Explanation:** Consider the following combination (all 0-indexed):\n    - Choose base 1: cost 7\n    - Take 1 of topping 0: cost 1 x 3 = 3\n    - Take 0 of topping 1: cost 0 x 4 = 0\n    Total: 7 + 3 + 0 = 10.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** baseCosts = [23] toppingCosts = [45100] target = 18\n    **Output:** 17\n    **Explanation:** Consider the following combination (all 0-indexed):\n    - Choose base 1: cost 3\n    - Take 1 of topping 0: cost 1 x 4 = 4\n    - Take 2 of topping 1: cost 2 x 5 = 10\n    - Take 0 of topping 2: cost 0 x 100 = 0\n    Total: 3 + 4 + 10 + 0 = 17. You cannot make a dessert with a total cost of 18.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** baseCosts = [310] toppingCosts = [25] target = 9\n    **Output:** 8\n    **Explanation:** It is possible to make desserts with cost 8 and 10. Return 8 as it is the lower cost.\n    \n\n\n\n**Constraints:**\n\n  * `n == baseCosts.length`\n  * `m == toppingCosts.length`\n  * `1 <= n m <= 10`\n  * `1 <= baseCosts[i] toppingCosts[i] <= 104`\n  * `1 <= target <= 104`\n\n,class Solution:\n    def closestCost(self baseCosts: List[int] toppingCosts: List[int] target: int) -> int:\n        self.ans = self.diff = float('inf')\n        \n        n = len(baseCosts)\n        m = len(toppingCosts)\n        \n        \n        def solve(sum target indx):\n            if abs(sum - target) < self.diff:\n                self.diff = abs(sum - target)\n                self.ans = sum\n            elif abs(sum - target) == self.diff:\n                self.ans = min(self.ans sum)\n            \n            \n            if indx == m:\n                return\n            \n            i = indx\n            for count in range(3):\n                sum += toppingCosts[i]*count\n                solve(sumtargeti+1)\n                sum -= toppingCosts[i]*count\n        \n        for i in baseCosts:\n            solve(i target 0)\n        return self.ans\n
Closest Divisors,###  1362\. Closest Divisors\n\nGiven an integer `num` find the closest two integers in absolute difference\nwhose product equals `num + 1` or `num + 2`.\n\nReturn the two integers in any order.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num = 8\n    **Output:** [33]\n    **Explanation:** For num + 1 = 9 the closest divisors are 3 & 3 for num + 2 = 10 the closest divisors are 2 & 5 hence 3 & 3 is chosen.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num = 123\n    **Output:** [525]\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** num = 999\n    **Output:** [4025]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= num <= 10^9`\n\n,"class Solution:\n	def closestDivisors(self num: int) -> List[int]:\n		for i in range(int((num+2) ** (0.5)) 0 -1):  \n			if not (num+1) % i: return [i (num+1)//i] \n			if not (num+2) % i: return [i (num+2)//i] \n		return []\n"
Closest Subsequence Sum,###  1755\. Closest Subsequence Sum\n\nYou are given an integer array `nums` and an integer `goal`.\n\nYou want to choose a subsequence of `nums` such that the sum of its elements\nis the closest possible to `goal`. That is if the sum of the subsequence's\nelements is `sum` then you want to **minimize the absolute difference**\n`abs(sum - goal)`.\n\nReturn _the**minimum** possible value of_ `abs(sum - goal)`.\n\nNote that a subsequence of an array is an array formed by removing some\nelements **(possibly all or none)** of the original array.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [5-735] goal = 6\n    **Output:** 0\n    **Explanation:** Choose the whole array as a subsequence with a sum of 6.\n    This is equal to the goal so the absolute difference is 0.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [7-915-2] goal = -5\n    **Output:** 1\n    **Explanation:** Choose the subsequence [7-9-2] with a sum of -4.\n    The absolute difference is abs(-4 - (-5)) = abs(1) = 1 which is the minimum.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** nums = [123] goal = -7\n    **Output:** 7\n    \n\n\n\n**Constraints:**\n\n  * `1 <= nums.length <= 40`\n  * `-107 <= nums[i] <= 107`\n  * `-109 <= goal <= 109`\n\n,class Solution:\n    def minAbsDifference(self nums: List[int] goal: int) -> int:\n\n        # When goal 0 we can just choose no elements \n        if goal == 0: return 0\n\n        n = len(nums)\n        mid = n // 2\n        # Split the list in 2 parts and then find all possible subset sums \n        # T = O(2^n/2) to build all subset sums\n        leftList = nums[:mid]\n        leftSums = []\n        rightList = nums[mid:]\n        rightSums = []\n\n        # T = O(2^n/2) to build all subset sums (we only consider half list)\n        def buildSubsetSums(usedNums numsToChooseFrom ind storeIn):\n            if ind == len(numsToChooseFrom):\n                # We also keep elements with sum 0 to deal with cases like this where we don't select nums\n                # List: [123] Target: -7 (choosing no elements will give a sum close to goal)\n                # We can also have cases where we want to take only 1 element from the list\n                # so sum 0 for left and right list needs to be an option\n                storeIn.append(sum(usedNums))\n                return \n\n            usedNums.append(numsToChooseFrom[ind])\n            buildSubsetSums(usedNums numsToChooseFrom ind+1 storeIn)\n            usedNums.pop()\n            buildSubsetSums(usedNums numsToChooseFrom ind+1 storeIn)\n\n\n        buildSubsetSums([] leftList 0 leftSums)\n        buildSubsetSums([] rightList 0 rightSums)\n        # 2^n/2 log(2^n/2) = n/2 * 2^n/2 time to sort\n        rightSums.sort()\n\n        diff = float('inf')\n\n        # Loop runs 2^n/2 times and inside binary search tale n/2 time \n        # So total time is n/2 * 2^n/2\n        for leftSum in leftSums:\n            complement = goal - leftSum\n            # Bisect left takes log(2^n/2) = n/2 search time\n            idx = bisect.bisect_left(rightSums complement)\n\n            for i in [idx - 1 idx idx + 1]:\n                if 0 <= i < len(rightSums):\n                    finalSum = leftSum + rightSums[i]\n                    diff = min(diff abs(goal - finalSum))\n        \n        # Over all time complexity is - n/2 * 2^n/2\n        # 1. Making subset sums will take - 2^n/2\n        # 2. Sorting right list takes - 2^n/2 * n/2\n        # 3. Iterating one list and finding closest complement in other \n        # takes n/2 * 2^n/2\n        # Space will be O(n/2) for the list and call stack for building subset \n        return diff\n\n
Clumsy Factorial,###  1006\. Clumsy Factorial\n\nThe **factorial** of a positive integer `n` is the product of all positive\nintegers less than or equal to `n`.\n\n  * For example `factorial(10) = 10 * 9 * 8 * 7 * 6 * 5 * 4 * 3 * 2 * 1`.\n\nWe make a **clumsy factorial** using the integers in decreasing order by\nswapping out the multiply operations for a fixed rotation of operations with\nmultiply `'*'` divide `'/'` add `'+'` and subtract `'-'` in this order.\n\n  * For example `clumsy(10) = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1`.\n\nHowever these operations are still applied using the usual order of\noperations of arithmetic. We do all multiplication and division steps before\nany addition or subtraction steps and multiplication and division steps are\nprocessed left to right.\n\nAdditionally the division that we use is floor division such that `10 * 9 / 8\n= 90 / 8 = 11`.\n\nGiven an integer `n` return _the clumsy factorial of_`n`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 4\n    **Output:** 7\n    **Explanation:** 7 = 4 * 3 / 2 + 1\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 10\n    **Output:** 12\n    **Explanation:** 12 = 10 * 9 / 8 + 7 - 6 * 5 / 4 + 3 - 2 * 1\n    \n\n\n\n**Constraints:**\n\n  * `1 <= n <= 104`\n\n,# Runtime: 87 ms (Top 67.15%) | Memory: 13.9 MB (Top 59.65%)\nclass Solution:\n    def clumsy(self n: int) -> int:\n        if(n>2):\n            sum=n*(n-1)//(n-2)+(n-3)\n        else:\n            sum=n\n        for i in range(n-40-4):\n            if(i<3):\n                sum=sum-i\n                break;\n            sum=sum-(i)*(i-1)//(i-2)+(i-3)\n\n        return sum
Coin Change,###  518\. Coin Change\n\nYou are given an integer array `coins` representing coins of different\ndenominations and an integer `amount` representing a total amount of money.\n\nReturn _the number of combinations that make up that amount_. If that amount\nof money cannot be made up by any combination of the coins return `0`.\n\nYou may assume that you have an infinite number of each kind of coin.\n\nThe answer is **guaranteed** to fit into a signed **32-bit** integer.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** amount = 5 coins = [125]\n    **Output:** 4\n    **Explanation:** there are four ways to make up the amount:\n    5=5\n    5=2+2+1\n    5=2+1+1+1\n    5=1+1+1+1+1\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** amount = 3 coins = [2]\n    **Output:** 0\n    **Explanation:** the amount of 3 cannot be made up just with coins of 2.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** amount = 10 coins = [10]\n    **Output:** 1\n    \n\n\n\n**Constraints:**\n\n  * `1 <= coins.length <= 300`\n  * `1 <= coins[i] <= 5000`\n  * All the values of `coins` are **unique**.\n  * `0 <= amount <= 5000`\n\n,// Runtime: 724 ms (Top 91.98%) | Memory: 17.70 MB (Top 44.11%)\n\nclass Solution:\n    def coinChange(self coins: List[int] amount: int) -> int:\n        numCoins = len(coins)\n        \n        # Values in this array equal the number of coins needed to achieve the cost of the index\n        minCoins = [amount + 1] * (amount + 1)\n        minCoins[0] = 0\n        \n        # Loop through every needed amount\n        for i in range(amount + 1):\n            # Loop through every coin value\n            for coin in coins:\n                # Check that the coin is not bigger than the current amount\n                if coin <= i:\n                    # minCoins[i]: number of coins needed to make amount i\n                    # minCoins[i-coin]: number of coins needed to make the amount before adding \n                    #                   the current coin to it (+1 to add the current coin)\n                    minCoins[i] = min(minCoins[i] minCoins[i-coin] + 1)\n        \n        # Check if any combination of coins was found to create the amount\n        if minCoins[amount] == amount + 1:\n            return -1\n        \n        # Return the optimal number of coins to create the amount\n        return minCoins[amount]\n
Combination Sum,###  39\. Combination Sum\n\nGiven an array of **distinct** integers `candidates` and a target integer\n`target` return _a list of all**unique combinations** of _`candidates` _where\nthe chosen numbers sum to_`target` _._ You may return the combinations in\n**any order**.\n\nThe **same** number may be chosen from `candidates` an **unlimited number of\ntimes**. Two combinations are unique if the frequency of at least one of the\nchosen numbers is different.\n\nIt is **guaranteed** that the number of unique combinations that sum up to\n`target` is less than `150` combinations for the given input.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** candidates = [2367] target = 7\n    **Output:** [[223][7]]\n    **Explanation:**\n    2 and 3 are candidates and 2 + 2 + 3 = 7. Note that 2 can be used multiple times.\n    7 is a candidate and 7 = 7.\n    These are the only two combinations.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** candidates = [235] target = 8\n    **Output:** [[2222][233][35]]\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** candidates = [2] target = 1\n    **Output:** []\n    \n\n\n\n**Constraints:**\n\n  * `1 <= candidates.length <= 30`\n  * `1 <= candidates[i] <= 200`\n  * All elements of `candidates` are **distinct**.\n  * `1 <= target <= 500`\n\n,# Runtime: 95 ms (Top 82.54%) | Memory: 14.1 MB (Top 72.96%)\nclass Solution:\n    def combinationSum(self candidates: List[int] target: int) -> List[List[int]]:\n\n        path = []\n        answer = []\n        def dp(idx total):\n            if total == target:\n                answer.append(path[:])\n                return\n            if total > target:\n                return\n\n            for i in range(idx len(candidates)):\n                path.append(candidates[i])\n                dp(i total + candidates[i])\n                path.pop()\n\n        dp(0 0)\n        return answer\n
Combination Sum II,###  40\. Combination Sum II\n\nGiven a collection of candidate numbers (`candidates`) and a target number\n(`target`) find all unique combinations in `candidates` where the candidate\nnumbers sum to `target`.\n\nEach number in `candidates` may only be used **once** in the combination.\n\n**Note:**  The solution set must not contain duplicate combinations.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** candidates = [10127615] target = 8\n    **Output:** \n    [\n    [116]\n    [125]\n    [17]\n    [26]\n    ]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** candidates = [25212] target = 5\n    **Output:** \n    [\n    [122]\n    [5]\n    ]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= candidates.length <= 100`\n  * `1 <= candidates[i] <= 50`\n  * `1 <= target <= 30`\n\n,# Runtime: 204 ms (Top 15.17%) | Memory: 14.1 MB (Top 23.77%)\nclass Solution(object):\n    def combinationSum2(self candidates target):\n        res = []\n        def dfs(numssummcurr):\n            if summ>=target:\n                if summ == target:\n                    res.append(curr)\n                return\n            for i in range(len(nums)):\n                if i !=0 and nums[i]==nums[i-1]:\n                    continue\n                dfs(nums[i+1:]summ+nums[i]curr+[nums[i]])\n        dfs(sorted(candidates)0[])\n        return res
Combination Sum III,###  216\. Combination Sum III\n\nFind all valid combinations of `k` numbers that sum up to `n` such that the\nfollowing conditions are true:\n\n  * Only numbers `1` through `9` are used.\n  * Each number is used **at most once**.\n\nReturn _a list of all possible valid combinations_. The list must not contain\nthe same combination twice and the combinations may be returned in any order.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** k = 3 n = 7\n    **Output:** [[124]]\n    **Explanation:**\n    1 + 2 + 4 = 7\n    There are no other valid combinations.\n\n**Example 2:**\n\n    \n    \n    **Input:** k = 3 n = 9\n    **Output:** [[126][135][234]]\n    **Explanation:**\n    1 + 2 + 6 = 9\n    1 + 3 + 5 = 9\n    2 + 3 + 4 = 9\n    There are no other valid combinations.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** k = 4 n = 1\n    **Output:** []\n    **Explanation:** There are no valid combinations.\n    Using 4 different numbers in the range [19] the smallest sum we can get is 1+2+3+4 = 10 and since 10 > 1 there are no valid combination.\n    \n\n\n\n**Constraints:**\n\n  * `2 <= k <= 9`\n  * `1 <= n <= 60`\n\n,class Solution:\n    \n    def solve(selfktargetanstempidxnums):\n        \n        if idx==len(nums):\n            if target==0 and k==0:\n                ans.append(list(temp))\n            return\n        \n        if nums[idx]<=target:\n            \n            temp.append(nums[idx])\n            self.solve(k-1target-nums[idx]anstempidx+1nums)\n            temp.pop()\n        \n        self.solve(ktargetanstempidx+1nums)\n        \n\n    \n    def combinationSum3(self k: int n: int) -> List[List[int]]:\n        \n        ans = []\n        temp = []\n        idx = 0\n        nums = list(range(110))\n        \n        self.solve(knanstempidxnums)\n        return ans\n                \n
Combination Sum IV,###  377\. Combination Sum IV\n\nGiven an array of **distinct** integers `nums` and a target integer `target`\nreturn _the number of possible combinations that add up to_  `target`.\n\nThe test cases are generated so that the answer can fit in a **32-bit**\ninteger.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums = [123] target = 4\n    **Output:** 7\n    **Explanation:**\n    The possible combination ways are:\n    (1 1 1 1)\n    (1 1 2)\n    (1 2 1)\n    (1 3)\n    (2 1 1)\n    (2 2)\n    (3 1)\n    Note that different sequences are counted as different combinations.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums = [9] target = 3\n    **Output:** 0\n    \n\n\n\n**Constraints:**\n\n  * `1 <= nums.length <= 200`\n  * `1 <= nums[i] <= 1000`\n  * All the elements of `nums` are **unique**.\n  * `1 <= target <= 1000`\n\n\n\n**Follow up:** What if negative numbers are allowed in the given array? How\ndoes it change the problem? What limitation we need to add to the question to\nallow negative numbers?\n\n,class Solution:\n    def combinationSum4(self nums: List[int] target: int) -> int:\n        dp = [0] * (target+1)\n        dp[0] = 1\n        for i in range(1 target+1):\n            for num in nums: \n                num_before = i - num\n                if num_before >= 0:\n                    dp[i] += dp[num_before]\n        return dp[target]\n
Combinations,###  77\. Combinations\n\nGiven two integers `n` and `k` return _all possible combinations of_ `k`\n_numbers chosen from the range_ `[1 n]`.\n\nYou may return the answer in **any order**.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 4 k = 2\n    **Output:** [[12][13][14][23][24][34]]\n    **Explanation:** There are 4 choose 2 = 6 total combinations.\n    Note that combinations are unordered i.e. [12] and [21] are considered to be the same combination.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 1 k = 1\n    **Output:** [[1]]\n    **Explanation:** There is 1 choose 1 = 1 total combination.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= n <= 20`\n  * `1 <= k <= n`\n\n,class Solution:\n    def combine(self n: int k: int) -> List[List[int]]:\n        return itertools.combinations(range(1 n+1) k)
Compare Strings by Frequency of the Smallest Character,"###  1170\. Compare Strings by Frequency of the Smallest Character\n\nLet the function `f(s)` be the **frequency of the lexicographically smallest\ncharacter** in a non-empty string `s`. For example if `s = ""dcce""` then `f(s)\n= 2` because the lexicographically smallest character is `'c'` which has a\nfrequency of 2.\n\nYou are given an array of strings `words` and another array of query strings\n`queries`. For each query `queries[i]` count the **number of words** in\n`words` such that `f(queries[i])` < `f(W)` for each `W` in `words`.\n\nReturn _an integer array_`answer` _ where each_`answer[i]`_is the answer to\nthe_`ith` _query_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** queries = [""cbd""] words = [""zaaaz""]\n    **Output:** [1]\n    **Explanation:** On the first query we have f(""cbd"") = 1 f(""zaaaz"") = 3 so f(""cbd"") < f(""zaaaz"").\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** queries = [""bbb""""cc""] words = [""a""""aa""""aaa""""aaaa""]\n    **Output:** [12]\n    **Explanation:** On the first query only f(""bbb"") < f(""aaaa""). On the second query both f(""aaa"") and f(""aaaa"") are both > f(""cc"").\n    \n\n\n\n**Constraints:**\n\n  * `1 <= queries.length <= 2000`\n  * `1 <= words.length <= 2000`\n  * `1 <= queries[i].length words[i].length <= 10`\n  * `queries[i][j]` `words[i][j]` consist of lowercase English letters.\n\n",class Solution:\n    def numSmallerByFrequency(self queries: List[str] words: List[str]) -> List[int]:\n        def _f(s):\n            d = Counter(s)\n            d =dict(sorted(d.items() key=lambda item: item[0]))\n            for x in d:\n                return d[x]\n        \n        freq = []\n        for w in words:\n            n1 = _f(w)\n            freq.append(n1)\n        \n        freq.sort(reverse=True)\n\n        res = []\n        for q in queries:\n            n = _f(q)\n            c=0\n            for n1 in freq:\n                if n < n1:\n                    c+=1\n                else:\n                    break\n            res.append(c)\n        \n        return res\n
Compare Version Numbers,"###  165\. Compare Version Numbers\n\nGiven two version numbers `version1` and `version2` compare them.\n\nVersion numbers consist of **one or more revisions** joined by a dot `'.'`.\nEach revision consists of **digits**  and may contain leading **zeros**. Every\nrevision contains **at least one character**. Revisions are **0-indexed from\nleft to right**  with the leftmost revision being revision 0 the next\nrevision being revision 1 and so on. For example `2.5.33` and `0.1` are valid\nversion numbers.\n\nTo compare version numbers compare their revisions in **left-to-right\norder**. Revisions are compared using their **integer value ignoring any\nleading zeros**. This means that revisions `1` and `001` are considered\n**equal**. If a version number does not specify a revision at an index then\n**treat the revision as  `0`**. For example version `1.0` is less than\nversion `1.1` because their revision 0s are the same but their revision 1s\nare `0` and `1` respectively and `0 < 1`.\n\n_Return the following:_\n\n  * If `version1 < version2` return `-1`.\n  * If `version1 > version2` return `1`.\n  * Otherwise return `0`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** version1 = ""1.01"" version2 = ""1.001""\n    **Output:** 0\n    **Explanation:** Ignoring leading zeroes both ""01"" and ""001"" represent the same integer ""1"".\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** version1 = ""1.0"" version2 = ""1.0.0""\n    **Output:** 0\n    **Explanation:** version1 does not specify revision 2 which means it is treated as ""0"".\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** version1 = ""0.1"" version2 = ""1.1""\n    **Output:** -1\n    **Explanation:** version1's revision 0 is ""0"" while version2's revision 0 is ""1"". 0 < 1 so version1 < version2.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= version1.length version2.length <= 500`\n  * `version1` and `version2` only contain digits and `'.'`.\n  * `version1` and `version2` **are valid version numbers**.\n  * All the given revisions in `version1` and `version2` can be stored in a **32-bit integer**.\n\n",class Solution:\n    def compareVersion(self v1: str v2: str) -> int:\n        v1 v2 = list(map(int v1.split('.'))) list(map(int v2.split('.')))  \n        for rev1 rev2 in zip_longest(v1 v2 fillvalue=0):\n            if rev1 == rev2:\n                continue\n\n            return -1 if rev1 < rev2 else 1 \n\n        return 0
Complement of Base 10 Integer,"###  1009\. Complement of Base 10 Integer\n\nThe **complement** of an integer is the integer you get when you flip all the\n`0`'s to `1`'s and all the `1`'s to `0`'s in its binary representation.\n\n  * For example The integer `5` is `""101""` in binary and its **complement** is `""010""` which is the integer `2`.\n\nGiven an integer `n` return _its complement_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** n = 5\n    **Output:** 2\n    **Explanation:** 5 is ""101"" in binary with complement ""010"" in binary which is 2 in base-10.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** n = 7\n    **Output:** 0\n    **Explanation:** 7 is ""111"" in binary with complement ""000"" in binary which is 0 in base-10.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** n = 10\n    **Output:** 5\n    **Explanation:** 10 is ""1010"" in binary with complement ""0101"" in binary which is 5 in base-10.\n    \n\n\n\n**Constraints:**\n\n  * `0 <= n < 109`\n\n\n\n**Note:** This question is the same as 476:\n<https://leetcode.com/problems/number-complement/>\n\n",// Runtime: 38 ms (Top 52.6%) | Memory: 17.10 MB (Top 12.47%)\n\nclass Solution:\n    def bitwiseComplement(self n: int) -> int:\n        cnt=0\n        ans=0\n        if n==0:\n            return 1\n        while n>0:\n            if n&1:\n                cnt+=1\n            else:\n                ans =ans +(2**cnt)\n                cnt+=1\n            n=n>>1\n        return ans\n
Complete Binary Tree Inserter,"###  919\. Complete Binary Tree Inserter\n\nA **complete binary tree** is a binary tree in which every level except\npossibly the last is completely filled and all nodes are as far left as\npossible.\n\nDesign an algorithm to insert a new node to a complete binary tree keeping it\ncomplete after the insertion.\n\nImplement the `CBTInserter` class:\n\n  * `CBTInserter(TreeNode root)` Initializes the data structure with the `root` of the complete binary tree.\n  * `int insert(int v)` Inserts a `TreeNode` into the tree with value `Node.val == val` so that the tree remains complete and returns the value of the parent of the inserted `TreeNode`.\n  * `TreeNode get_root()` Returns the root node of the tree.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/08/03/lc-treeinsert.jpg)\n\n    \n    \n    **Input**\n    [""CBTInserter"" ""insert"" ""insert"" ""get_root""]\n    [[[1 2]] [3] [4] []]\n    **Output**\n    [null 1 2 [1 2 3 4]]\n    \n    **Explanation**\n    CBTInserter cBTInserter = new CBTInserter([1 2]);\n    cBTInserter.insert(3);  // return 1\n    cBTInserter.insert(4);  // return 2\n    cBTInserter.get_root(); // return [1 2 3 4]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in the tree will be in the range `[1 1000]`.\n  * `0 <= Node.val <= 5000`\n  * `root` is a complete binary tree.\n  * `0 <= val <= 5000`\n  * At most `104` calls will be made to `insert` and `get_root`.\n\n","// Runtime: 44 ms (Top 99.57%) | Memory: 18.50 MB (Top 5.17%)\n\nfrom collections import deque\n\nclass CBTInserter:\n\n    \n    def __init__(self root: TreeNode):\n        \n        self.root = root\n        \n        self.parent_keeper = deque([root])\n\n        while True:\n            \n            cur = self.parent_keeper[0]\n            \n            if cur:\n                \n                if cur.left:\n                    \n                    self.parent_keeper.append( cur.left )\n                    \n                    if cur.right:\n                        \n                        self.parent_keeper.append( cur.right )\n                        \n                        # cur is completed with two child pop out\n                        self.parent_keeper.popleft()\n                    \n                    else:\n                        # parent of next insertion is found stop\n                        break\n                \n                else:\n                    # parent of next insertion is found stop\n                    break\n        \n        \n\n    def insert(self v: int) -> int:\n        \n        parent = self.parent_keeper[0]\n        \n		# Insert with leftward compact to meet the definition of complete binary tree\n		\n        if not parent.left:\n            parent.left = TreeNode( v )\n            self.parent_keeper.append( parent.left )\n        else:\n            parent.right = TreeNode( v )\n            self.parent_keeper.append( parent.right )\n            \n            # current parent is completed with two child now pop parent from parent keeper on the head\n            self.parent_keeper.popleft()\n            \n        return parent.val\n        \n\n    def get_root(self) -> TreeNode:\n        \n        return self.root\n"
Complex Number Multiplication,"###  537\. Complex Number Multiplication\n\nA [complex number](https://en.wikipedia.org/wiki/Complex_number) can be\nrepresented as a string on the form `""**real** +**imaginary** i""` where:\n\n  * `real` is the real part and is an integer in the range `[-100 100]`.\n  * `imaginary` is the imaginary part and is an integer in the range `[-100 100]`.\n  * `i2 == -1`.\n\nGiven two complex numbers `num1` and `num2` as strings return _a string of\nthe complex number that represents their multiplications_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num1 = ""1+1i"" num2 = ""1+1i""\n    **Output:** ""0+2i""\n    **Explanation:** (1 + i) * (1 + i) = 1 + i2 + 2 * i = 2i and you need convert it to the form of 0+2i.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num1 = ""1+-1i"" num2 = ""1+-1i""\n    **Output:** ""0+-2i""\n    **Explanation:** (1 - i) * (1 - i) = 1 + i2 - 2 * i = -2i and you need convert it to the form of 0+-2i.\n    \n\n\n\n**Constraints:**\n\n  * `num1` and `num2` are valid complex numbers.\n\n",class Solution:\n    def complexNumberMultiply(self num1: str num2: str) -> str:\n        i1=num1.index('+')\n        i2=num2.index('+')\n        a=int(num1[0:i1])\n        x=int(num2[0:i2])\n        b=int(num1[i1+1:len(num1)-1])\n        y=int(num2[i2+1:len(num2)-1])\n        ans1=a*x+(-1)*b*y\n        ans2=a*y+b*x\n        return str(ans1)+'+'+(str(ans2)+'i')
Concatenated Words,"###  472\. Concatenated Words\n\nGiven an array of strings `words` (**without duplicates**) return _all\nthe**concatenated words** in the given list of_ `words`.\n\nA **concatenated word** is defined as a string that is comprised entirely of\nat least two shorter words in the given array.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** words = [""cat""""cats""""catsdogcats""""dog""""dogcatsdog""""hippopotamuses""""rat""""ratcatdogcat""]\n    **Output:** [""catsdogcats""""dogcatsdog""""ratcatdogcat""]\n    **Explanation:** ""catsdogcats"" can be concatenated by ""cats"" ""dog"" and ""cats""; \n    ""dogcatsdog"" can be concatenated by ""dog"" ""cats"" and ""dog""; \n    ""ratcatdogcat"" can be concatenated by ""rat"" ""cat"" ""dog"" and ""cat"".\n\n**Example 2:**\n\n    \n    \n    **Input:** words = [""cat""""dog""""catdog""]\n    **Output:** [""catdog""]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= words.length <= 104`\n  * `1 <= words[i].length <= 30`\n  * `words[i]` consists of only lowercase English letters.\n  * All the strings of `words` are **unique**.\n  * `1 <= sum(words[i].length) <= 105`\n\n",class Solution:\n    def findAllConcatenatedWordsInADict(self words: List[str]) -> List[str]:\n                \n        set_words = set(words)\n\n        def check(word seen):\n            if word == '':\n                return True\n            for i in range(len(word) if seen else len(word) - 1):\n                if word[:i+1] in set_words:\n                    if check(word[i+1:] seen | {word[:i+1]}):\n                        return True\n            return False\n\n        return [word for word in words if check(word set())]\n
